日期,收盘,
2014-09-23,937.00 ,
2014-09-24,937.00 ,
2014-09-25,924.00 ,
2014-09-26,910.00 ,
2014-09-29,921.25 ,
2014-09-30,911.75 ,
2014-10-01,917.50 ,
2014-10-02,925.00 ,
2014-10-03,912.00 ,
2014-10-06,940.00 ,
2014-10-07,940.00 ,
2014-10-08,934.00 ,
2014-10-09,941.00 ,
2014-10-10,922.50 ,
2014-10-13,945.00 ,
2014-10-14,964.50 ,
2014-10-15,953.50 ,
2014-10-16,966.50 ,
2014-10-17,952.25 ,
2014-10-20,945.50 ,
2014-10-21,964.00 ,
2014-10-22,960.00 ,
2014-10-23,992.50 ,
2014-10-24,979.50 ,
2014-10-27,1003.00 ,
2014-10-28,1007.00 ,
2014-10-29,1041.00 ,
2014-10-30,1024.50 ,
2014-10-31,1047.00 ,
2014-11-03,1027.75 ,
2014-11-04,1014.25 ,
2014-11-05,1020.00 ,
2014-11-06,1029.00 ,
2014-11-07,1042.00 ,
2014-11-10,1026.00 ,
2014-11-11,1068.00 ,
2014-11-12,1049.50 ,
2014-11-13,1047.00 ,
2014-11-14,1028.25 ,
2014-11-17,1035.00 ,
2014-11-18,1024.00 ,
2014-11-19,1005.00 ,
2014-11-20,1020.50 ,
2014-11-21,1036.50 ,
2014-11-24,1034.50 ,
2014-11-25,1049.00 ,
2014-11-26,1047.75 ,
2014-11-28,1015.00 ,
2014-12-01,1018.00 ,
2014-12-02,996.00 ,
2014-12-03,999.25 ,
2014-12-04,1010.75 ,
2014-12-05,1037.00 ,
2014-12-08,1044.00 ,
2014-12-09,1047.50 ,
2014-12-10,1033.00 ,
2014-12-11,1041.75 ,
2014-12-12,1048.00 ,
2014-12-15,1038.50 ,
2014-12-16,1022.50 ,
2014-12-17,1026.00 ,
2014-12-18,1034.00 ,
2014-12-19,1032.00 ,
2014-12-22,1037.50 ,
2014-12-23,1036.00 ,
2014-12-24,1030.50 ,
2014-12-26,1048.00 ,
2014-12-29,1041.50 ,
2014-12-30,1035.50 ,
2014-12-31,1018.50 ,
2015-01-02,1003.00 ,
2015-01-05,1038.00 ,
2015-01-06,1048.00 ,
2015-01-07,1051.00 ,
2015-01-08,1046.00 ,
2015-01-09,1051.50 ,
2015-01-12,1013.00 ,
2015-01-13,1001.00 ,
2015-01-14,996.50 ,
2015-01-15,988.50 ,
2015-01-16,990.50 ,
2015-01-20,982.50 ,
2015-01-21,982.50 ,
2015-01-22,978.00 ,
2015-01-23,972.50 ,
2015-01-26,983.50 ,
2015-01-27,974.00 ,
2015-01-28,970.00 ,
2015-01-29,968.50 ,
2015-01-30,960.50 ,
2015-02-02,958.50 ,
2015-02-03,986.50 ,
2015-02-04,972.50 ,
2015-02-05,981.25 ,
2015-02-06,974.00 ,
2015-02-09,979.00 ,
2015-02-10,969.50 ,
2015-02-11,977.00 ,
2015-02-12,983.50 ,
2015-02-13,991.50 ,
2015-02-17,1008.50 ,
2015-02-18,995.50 ,
2015-02-19,1006.50 ,
2015-02-20,1000.00 ,
2015-02-23,999.00 ,
2015-02-24,1015.50 ,
2015-02-25,1007.25 ,
2015-02-26,1024.00 ,
2015-02-27,1029.00 ,
2015-03-02,1011.00 ,
2015-03-03,1009.00 ,
2015-03-04,988.50 ,
2015-03-05,979.75 ,
2015-03-09,988.00 ,
2015-03-10,980.50 ,
2015-03-11,985.50 ,
2015-03-12,985.25 ,
2015-03-13,972.50 ,
2015-03-16,969.25 ,
2015-03-17,957.00 ,
2015-03-18,965.50 ,
2015-03-19,961.00 ,
2015-03-20,972.50 ,
2015-03-23,982.25 ,
2015-03-24,981.00 ,
2015-03-25,978.00 ,
2015-03-26,974.50 ,
2015-03-27,968.00 ,
2015-03-30,969.00 ,
2015-03-31,974.00 ,
2015-04-01,987.50 ,
2015-04-02,984.00 ,
2015-04-06,978.00 ,
2015-04-07,971.00 ,
2015-04-08,971.25 ,
2015-04-09,955.50 ,
2015-04-10,951.50 ,
2015-04-13,949.00 ,
2015-04-14,959.50 ,
2015-04-15,964.50 ,
2015-04-16,964.00 ,
2015-04-17,968.50 ,
2015-04-20,977.00 ,
2015-04-21,974.00 ,
2015-04-22,970.00 ,
2015-04-23,977.00 ,
2015-04-24,968.00 ,
2015-04-27,972.50 ,
2015-04-28,977.00 ,
2015-04-29,988.00 ,
2015-04-30,978.50 ,
2015-05-01,966.00 ,
2015-05-04,983.75 ,
2015-05-05,993.50 ,
2015-05-06,990.50 ,
2015-05-07,982.75 ,
2015-05-08,984.00 ,
2015-05-12,969.00 ,
2015-05-13,975.00 ,
2015-05-14,963.00 ,
2015-05-15,952.75 ,
2015-05-18,954.00 ,
2015-05-19,947.00 ,
2015-05-20,940.50 ,
2015-05-21,936.50 ,
2015-05-22,926.50 ,
2015-05-26,921.75 ,
2015-05-27,925.00 ,
2015-05-28,926.25 ,
2015-05-29,934.50 ,
2015-06-01,926.00 ,
2015-06-02,941.00 ,
2015-06-03,934.00 ,
2015-06-04,945.00 ,
2015-06-05,938.25 ,
2015-06-08,944.00 ,
2015-06-09,950.50 ,
2015-06-10,950.00 ,
2015-06-11,940.50 ,
2015-06-12,939.75 ,
2015-06-15,936.50 ,
2015-06-16,956.50 ,
2015-06-17,967.00 ,
2015-06-18,976.00 ,
2015-06-19,969.50 ,
2015-06-22,989.00 ,
2015-06-23,986.50 ,
2015-06-24,981.75 ,
2015-06-25,999.00 ,
2015-06-26,999.50 ,
2015-06-29,1003.00 ,
2015-06-30,1056.00 ,
2015-07-01,1044.50 ,
2015-07-02,1045.50 ,
2015-07-06,1032.50 ,
2015-07-07,1001.50 ,
2015-07-08,1006.25 ,
2015-07-09,1037.50 ,
2015-07-10,1045.00 ,
2015-07-13,1048.00 ,
2015-07-14,1039.00 ,
2015-07-15,1024.75 ,
2015-07-16,1016.50 ,
2015-07-17,1014.50 ,
2015-07-20,1008.00 ,
2015-07-21,1017.75 ,
2015-07-22,1023.00 ,
2015-07-23,1010.00 ,
2015-07-24,990.75 ,
2015-07-27,960.50 ,
2015-07-28,975.25 ,
2015-07-29,983.00 ,
2015-07-30,993.00 ,
2015-07-31,979.00 ,
2015-08-03,977.50 ,
2015-08-04,975.25 ,
2015-08-05,992.00 ,
2015-08-06,986.00 ,
2015-08-07,1008.00 ,
2015-08-10,1045.00 ,
2015-08-11,1013.75 ,
2015-08-12,954.50 ,
2015-08-13,995.00 ,
2015-08-14,978.00 ,
2015-08-17,927.25 ,
2015-08-18,913.25 ,
2015-08-19,905.50 ,
2015-08-20,921.00 ,
2015-08-21,905.50 ,
2015-08-24,894.75 ,
2015-08-25,893.75 ,
2015-08-26,878.50 ,
2015-08-27,885.50 ,
2015-08-28,894.50 ,
2015-08-31,896.50 ,
2015-09-01,884.75 ,
2015-09-02,883.75 ,
2015-09-03,879.00 ,
2015-09-04,877.00 ,
2015-09-08,889.75 ,
2015-09-09,882.75 ,
2015-09-10,884.50 ,
2015-09-11,888.75 ,
2015-09-14,882.75 ,
2015-09-15,889.75 ,
2015-09-16,886.75 ,
2015-09-17,884.25 ,
2015-09-18,867.25 ,
2015-09-21,874.00 ,
2015-09-22,862.50 ,
2015-09-23,863.00 ,
2015-09-24,868.75 ,
2015-09-25,888.75 ,
2015-09-28,877.75 ,
2015-09-29,884.25 ,
2015-09-30,892.25 ,
2015-10-01,878.00 ,
2015-10-02,875.00 ,
2015-10-05,883.25 ,
2015-10-06,887.50 ,
2015-10-07,891.50 ,
2015-10-08,881.00 ,
2015-10-09,885.50 ,
2015-10-12,887.00 ,
2015-10-13,912.00 ,
2015-10-14,910.00 ,
2015-10-15,905.25 ,
2015-10-16,900.00 ,
2015-10-19,891.00 ,
2015-10-20,896.00 ,
2015-10-21,905.50 ,
2015-10-22,898.25 ,
2015-10-23,892.75 ,
2015-10-26,886.00 ,
2015-10-27,891.00 ,
2015-10-28,881.00 ,
2015-10-29,877.75 ,
2015-10-30,882.75 ,
2015-11-02,878.50 ,
2015-11-03,879.00 ,
2015-11-04,883.25 ,
2015-11-05,869.25 ,
2015-11-06,871.25 ,
2015-11-09,874.00 ,
2015-11-10,866.00 ,
2015-11-11,868.50 ,
2015-11-12,869.75 ,
2015-11-13,860.50 ,
2015-11-16,859.50 ,
2015-11-17,863.50 ,
2015-11-18,858.00 ,
2015-11-19,859.50 ,
2015-11-20,857.00 ,
2015-11-23,863.50 ,
2015-11-24,863.75 ,
2015-11-25,873.75 ,
2015-11-27,873.75 ,
2015-11-30,880.75 ,
2015-12-01,889.00 ,
2015-12-02,891.25 ,
2015-12-03,896.50 ,
2015-12-04,905.00 ,
2015-12-07,885.25 ,
2015-12-08,876.25 ,
2015-12-09,876.75 ,
2015-12-10,878.25 ,
2015-12-11,870.00 ,
2015-12-14,874.00 ,
2015-12-15,866.50 ,
2015-12-16,863.00 ,
2015-12-17,874.50 ,
2015-12-18,891.75 ,
2015-12-21,889.00 ,
2015-12-22,885.25 ,
2015-12-23,881.50 ,
2015-12-24,877.00 ,
2015-12-28,867.00 ,
2015-12-29,869.75 ,
2015-12-30,874.25 ,
2015-12-31,871.00 ,
2016-01-04,866.50 ,
